distance	height
0	4.280563
1.252762968	4.358657
1.791759469	4.392256
2.140066163	4.413969
2.397895273	4.430041
2.602689685	4.442807
2.772588722	4.453398
2.917770732	4.462449
3.044522438	4.47035
0	4.894107
1.252762968	4.972201
1.791759469	5.0058
2.140066163	5.027513
2.397895273	5.043585
2.602689685	5.056351
2.772588722	5.066942
2.917770732	5.075993
3.044522438	5.083894
0	5.953887
1.252762968	6.03198
1.791759469	6.06558
2.140066163	6.087292
2.397895273	6.103365
2.602689685	6.116131
2.772588722	6.126722
2.917770732	6.135772
3.044522438	6.143673
0	4.728494
1.252762968	4.806587
1.791759469	4.840187
2.140066163	4.861899
2.397895273	4.877972
2.602689685	4.890738
2.772588722	4.901329
2.917770732	4.910379
3.044522438	4.91828
