distance	height
0	14.042928
1.252762968	10.956252
1.791759469	9.628221
2.140066163	8.77003
2.397895273	8.134767
2.602689685	7.630175
2.772588722	7.211561
2.917770732	6.853848
3.044522438	6.541545
0	12.621781
1.252762968	9.535105
1.791759469	8.207075
2.140066163	7.348884
2.397895273	6.71362
2.602689685	6.209028
2.772588722	5.790415
2.917770732	5.432702
3.044522438	5.120399
0	13.554587
1.252762968	10.467911
1.791759469	9.139881
2.140066163	8.28169
2.397895273	7.646426
2.602689685	7.141834
2.772588722	6.723221
2.917770732	6.365508
3.044522438	6.053205
0	14.3167
1.252762968	11.230024
1.791759469	9.901994
2.140066163	9.043803
2.397895273	8.408539
2.602689685	7.903947
2.772588722	7.485334
2.917770732	7.127621
3.044522438	6.815318

