distance	height
0	15.06378
1.252762968	11.826329
1.791759469	10.433428
2.140066163	9.533317
2.397895273	8.867022
2.602689685	8.337783
2.772588722	7.898721
2.917770732	7.523535
3.044522438	7.195977
0	14.014801
1.252762968	10.777351
1.791759469	9.38445
2.140066163	8.484339
2.397895273	7.818044
2.602689685	7.288804
2.772588722	6.849743
2.917770732	6.474557
3.044522438	6.146999
0	12.471896
1.252762968	9.234445
1.791759469	7.841544
2.140066163	6.941433
2.397895273	6.275138
2.602689685	5.745899
2.772588722	5.306837
2.917770732	4.931651
3.044522438	4.604093
0	13.92298
1.252762968	10.685529
1.791759469	9.292628
2.140066163	8.392517
2.397895273	7.726222
2.602689685	7.196983
2.772588722	6.757921
2.917770732	6.382735
3.044522438	6.055177
