plot	treat	distance	density	footdown	rads	treatall
1	WC	0	27.33333333	0.75	8.7	w
1	WC	5	24.66666667	3	6.05	w1
1	WC	10	18.66666667	3.5	0.05	w2
1	WC	15	21.66666667	3.5	2.3	w3
2	BC	0	17.33333333	1.5	7.733333333	b
2	BC	5	16.66666667	3.25	6.4	b1
2	BC	10	17.66666667	3	-0.1	b2
2	BC	15	15.33333333	2.5	1.4	b3
3	AC	0	11.66666667	2.666666667	1.266666667	c
3	AC	5	10	3	2.6	c1
3	AC	10	13.33333333	5.333333333	2.85	c2
3	AC	15	11.66666667	6.333333333	4.6	c3
4	WC	0	17	0	6.8	w
4	WC	5	18.33333333	0.75	5.8	w1
4	WC	10	18	3.25	0.8	w2
4	WC	15	22	3.5	2.3	w3
5	AC	0	18.66666667	2.5	2.2	c
5	AC	5	20.66666667	3	1.95	c1
5	AC	10	25	4	3.2	c2
5	AC	15	20.66666667	5	2.2	c3
6	BC	0	17.33333333	0.25	6.2	b
6	BC	5	15.33333333	0.5	4.45	b1
6	BC	10	14.66666667	1.5	1.2	b2
6	BC	15	17	3	2.7	b3
10	BC	0	16	0.75	6.4	b
10	BC	5	21.66666667	2.25	5.15	b1
10	BC	10	19.33333333	1.25	2.9	b2
10	BC	15	18.66666667	3.25	2.15	b3
11	WC	0	12	0	5.333333333	w
11	WC	5	18.33333333	1.75	7	w1
11	WC	10	16.33333333	2.25	0	w2
11	WC	15	16.33333333	2	0.666666667	w3
12	BC	0	13.66666667	1.25	4.2	b
12	BC	5	15	2.5	4.266666667	b1
12	BC	10	15.66666667	3.75	1.1	b2
12	BC	15	16.66666667	3.25	-0.4	b3
13	AC	0	17	3.5	-2.6	c
13	AC	5	11.66666667	4	-0.6	c1
13	AC	10	15.66666667	3.5	1.4	c2
13	AC	15	17.66666667	3	-0.266666667	c3
14	WC	0	19.66666667	1	4.733333333	w
14	WC	5	14.33333333	3.25	5.4	w1
14	WC	10	15.66666667	4.25	-1.6	w2
14	WC	15	18	3.75	-1.266666667	w3
15	AC	0	18.66666667	4	-0.733333333	c
15	AC	5	15.33333333	4.25	-1.4	c1
15	AC	10	19	2.5	-1.9	c2
15	AC	15	16	3.25	0.1	c3
